Comment,Object,Label,Predicted_Objects
garnacho bảnh quá,['garnacho'],1.0,['garnacho']
bình an đăng lại kìa,[],0.0,[]
gọi garnacho là gì,['garnacho'],0.0,[]
"chỉnh sửa đẹp , ngầu âm thanh chất lượng nhưng không dám đăng lại",[],0.0,[]
hâm mộ manchester city những vẫn thích united,['manchester city' ' manchester united'],1.0,['manchester' 'city' 'united']
anh lực antony quá dữ,['antony'],1.0,[]
garnacho đẹp ác lại còn bảnh,['garnacho'],1.0,['garnacho']
gọi garnacho là ghế vì nó không phải bàn,['garnacho'],1.0,[]
hâm mộ manchester city mà mê garnacho,['garnacho' ' manchester city'],1.0,['manchester' 'city' 'garnacho']
hâm mộ manchester city nhưng bị mê garnacho,['manchester city' ' garnacho'],1.0,['manchester' 'city']
hay vậy,[],1.0,[]
21 nghìn nên ăn gì anh em,[],0.0,[]
garnacho đẹp,['garnacho'],1.0,[]
thấy bình an đăng lại,[],0.0,[]
garnacho bảnh ác trời ơi,['garnacho'],1.0,['garnacho']
góc đẹp,[],1.0,[]
garnacho ngầu ác,['garnacho'],1.0,['garnacho']
hâm mộ garnacho,['garnacho'],1.0,['garnacho']
ông thứ 3 đẹp vãi,[],1.0,[]
garnacho bảnhh đẹp ác,['garnacho'],1.0,['garnacho']
garnacho đẹp trai vãi,['garnacho'],1.0,['garnacho']
hôm qua wanbisaka kèm cứng ngắt doku,['aaron wan-bisaka' ' jeremy doku'],1.0,[]
antony,['antony'],1.0,['tony']
bình an đang lại,[],0.0,[]
chỉnh sửa mất bao nhiêu thời gian vậy bạn,[],0.0,[]
andre onana yes,['onana'],1.0,[]
the gots mãi and oll ways,[],0.0,[]
bình an đăng lại luôn,[],0.0,[]
anh em manchester united đâu rồi,['manchester united'],0.0,['manchester' 'united']
"amad,antoni,garnacho những người tôi yêu thích nhất trong manchester united",['amad diallo' ' antoni' ' garnacho '],1.0,['ad' 'manchester' 'united']
garnacho bảnh ác,['garnacho'],1.0,['garnacho']
manchester united mãi,['manchester united'],1.0,['manchester' 'united']
manchester united đăng lại kìa,['manchester united'],1.0,['manchester' 'united']
thề nghe bài này nghĩ ngay tới cái đội,[],0.0,[]
garnacho bảnhh,['garnacho'],1.0,['garnacho']
garnacho số mất vậy việt nam,['garnacho'],0.0,['garna' 'việt' 'nam']
xem xong tôi thành hâm mộ manchester united luôn rồi,['manchester united'],1.0,['manchester' 'united']
hojlund bảnh,['rasmus hojlund'],1.0,['hojlund']
10 điểm,[],1.0,[]
bình an đăng lại,[],0.0,[]
anh em manchester united,['manchester united'],0.0,['manchester' 'united']
đỉnh vậy,[],1.0,[]
thần tượng tôi garacho,['garnacho'],1.0,[]
garnacho cháy vãi,['garnacho'],1.0,[]
el gasing,[],0.0,[]
bảnh ác,[],1.0,[]
bảnh,[],1.0,[]
quá rủi cristiano ronaldo để đăng lại,[],0.0,[]
chỉnh sửa chất,[],1.0,[]
antony nhìn chất vãi,['antony'],1.0,[]
hay mà không lên xu hướng quá,[],0.0,[]
hâm mộ manchester city nhưng thích valverde,['manchester city' ' federico valverde'],0.0,['manchester' 'city']
đỉnh,[],1.0,[]
2024 còn ai xem không,[],0.0,[]
chỉnh sửa hay zi,[],1.0,[]
garnacho ngầu,['garnacho'],1.0,[]
manchester united,['manchester united'],1.0,['manchester' 'united']
